# Stored Data from the Corrector algorithm in Manifolds
Orbital period: 3.07329477770813941362
# x 					 y 					 vx 					 vy
  1.00907518166235155022 -0.00007440958789915935 -0.00002823075351296061 0.00610844933825164301
  1.00907501521938813838 -0.00001324655599692157 -0.00000502422437863417 0.00611055350868776152
  1.00907508105747623084 0.00004792284192561519 0.00001817854572433191 0.00610972108960138559
  1.00907537922585865964 0.00010906920987828773 0.00004139490843042118 0.00610595277003730345
  1.00907590994717955013 0.00017016317092931663 0.00006464213833572648 0.00609925166764788574
  1.00907667361621800062 0.00023117539147924862 0.00008793733509140431 0.00608962331992776978
  1.00907767079765386953 0.00029207660541322070 0.00011129732648731875 0.00607707566868363833
  1.00907890222286478199 0.00035283763806432506 0.00013473857307067720 0.00606161903784698843
  1.00908036878578410978 0.00041342942992216448 0.00015827707482995993 0.00604326610478331597
  1.00908207153783013865 0.00047382306002244378 0.00018192828045622618 0.00602203186529499425
  1.00908401168194794550 0.00053398976895562803 0.00020570699966969720 0.00599793359255663787
  1.00908619056578752193 0.00059390098143528804 0.00022962731907371291 0.00597099079026065186
  1.00908860967406099896 0.00065352832836970925 0.00025370252196556145 0.00594122514028639064
  1.00909127062011649834 0.00071284366838365138 0.00027794501250001332 0.00590866044523864070
  1.00909417513677790446 0.00077181910874074295 0.00030236624456368905 0.00587332256622968580
  1.00909732506649651995 0.00083042702562087772 0.00032697665567885836 0.00583523935630379537
  1.00910072235086745174 0.00088864008371106987 0.00035178560621321902 0.00579444058992325314
  1.00910436901956601652 0.00094643125507251039 0.00037680132412939342 0.00575095788895124260
  1.00910826717875834468 0.00100377383725098242 0.00040203085546405349 0.00570482464557859042
  1.00911241899904591257 0.00106064147060231642 0.00042748002068201924 0.00565607594264882965
  1.00911682670300262288 0.00111700815480912240 0.00045315337700655225 0.00560474847183915943
  1.00912149255236727186 0.00117284826456963399 0.00047905418678411506 0.00555088045015405401
  1.00912641883494602624 0.00122813656444402917 0.00050518439189884507 0.00549451153518319864
  1.00913160785129063512 0.00128284822284808944 0.00053154459421139700 0.00543568273956687980
  1.00913706190121232886 0.00133695882518843306 0.00055813404195780589 0.00537443634509983045
  1.00914278327018624992 0.00139044438613779666 0.00058495062200737170 0.00531081581688918128
  1.00914877421570836624 0.00144328136105290939 0.00061199085784376139 0.00524486571796400469
  1.00915503695366060022 0.00149544665654139037 0.00063924991310263185 0.00517663162471326127
  1.00916157364473724201 0.00154691764018774860 0.00066672160046986394 0.00510616004350603839
  1.00916838638098882441 0.00159767214945199295 0.00069439839571929353 0.00503349832882334005
  1.00917547717252698014 0.00164768849975752249 0.00072227145664620525 0.00495869460320448163
  1.00918284793444601455 0.00169694549178786829 0.00075033064663364963 0.00488179767928395743
  1.00919050047400160608 0.00174542241801447259 0.00077856456257256225 0.00480285698416658881
  1.00919843647808771259 0.00179309906848004459 0.00080696056684406302 0.00472192248636046571
  1.00920665750105476022 0.00183995573586406575 0.00083550482306198504 0.00463904462545852974
  1.00921516495290419790 0.00188597321985880997 0.00086418233526771541 0.00455427424473149860
  1.00922396008788672894 0.00193113283088571235 0.00089297699026453495 0.00446766252676679583
  1.00923304399354352157 0.00197541639318314340 0.00092187160277805858 0.00437926093226108457
  1.00924241758021082660 0.00201880624729758621 0.00095084796313035021 0.00428912114204772939
  1.00925208157101176099 0.00206128525201090297 0.00097988688711891946 0.00419729500241535717
  1.00926203649235923798 0.00210283678573681878 0.00100896826779746417 0.00410383447374981000
  1.00927228266498447695 0.00214344474741995491 0.00103807112886263497 0.00400879158250924683
  1.00928282019550685789 0.00218309355697074697 0.00106717367936056805 0.00391221837652121814
  1.00929364896855644496 0.00222176815526935884 0.00109625336943736931 0.00381416688357105954
  1.00930476863945961519 0.00225945400377131674 0.00112528694686983674 0.00371468907323314499
  1.00931617862749423153 0.00229613708374701384 0.00115425051412554238 0.00361383682188046911
  1.00932787810971458242 0.00233180389518652161 0.00118311958571527538 0.00351166188079346303
  1.00933986601535408134 0.00236644145540027820 0.00121186914561490682 0.00340821584727611952
  1.00935214102080106358 0.00240003729734525762 0.00124047370454914816 0.00330355013867640384
  1.00936470154514634778 0.00243257946770513616 0.00126890735694433466 0.00319771596919820288
  1.00937754574629967586 0.00246405652475179459 0.00129714383737269956 0.00309076432938400376
  1.00939067151766570518 0.00249445753601427274 0.00132515657632600913 0.00298274596814089273
  1.00940407648537600060 0.00252377207577996702 0.00135291875517108153 0.00287371137717713559
  1.00941775800606725610 0.00255199022245152516 0.00138040336015512262 0.00276371077771280296
  1.00943171316519353375 0.00257910255578150610 0.00140758323534259395 0.00265279410932501344
  1.00944593877586274999 0.00260510015400546502 0.00143443113437974725 0.00254101102078690272
  1.00946043137818519675 0.00262997459089272774 0.00146091977099600269 0.00242841086275871667
  1.00947518723912188499 0.00265371793273267136 0.00148702186816475020 0.00231504268218998745
  1.00949020235281650137 0.00267632273527295154 0.00151271020585755345 0.00220095521829272904
  1.00950547244139943182 0.00269778204062470122 0.00153795766733815149 0.00208619689994781225
  1.00952099295624675435 0.00271808937414837843 0.00156273728395276042 0.00197081584440912195
  1.00953675907968198899 0.00273723874133257944 0.00158702227838369197 0.00185485985717345520
  1.00955276572709928828 0.00275522462467685334 0.00161078610634242804 0.00173837643288774456
  1.00956900754950051891 0.00277204198058826666 0.00163400249668709798 0.00162141275716942072
  1.00958547893642136550 0.00278768623630025816 0.00165664548995708379 0.00150401570922018110
  1.00960217401923957325 0.00280215328682115617 0.00167868947532472698 0.00138623186511823413
